"","Trial","Segment","Direction","Duration","VerticalSize","PeakVerticalVelocity","PeakVerticalAcceleration","HorizontalSize","StraightnessError","Slant","LoopSurface","RelativeInitialSlant","RelativeTimeToPeakVerticalVelocity","RelativePenDownDuration","RelativeDurationofPrimary","RelativeSizeofPrimary","AbsoluteSize","AverageAbsoluteVelocity","Roadlength","AbsoluteyJerk","NormalizedyJerk","AverageNormalizedyJerkPerTrial","AbsoluteJerk","NormalizedJerk","AverageNormalizedJerkPerTrial","NumberOfPeakAccelerationPoints","AveragePenPressure"
"1","unk1",1,1,0.0894,0.0826,1.6658,53.6843,-0.0946,0.0604,2.3458,0,-0.0996,0.494,1,0,0,0.1256,1.5377,0.1375,580.494,7.8102,173.998,617.42,8.307,293.266,1,338.222
"2","unk1",2,-1,0.2604,-0.5291,-3.3324,-40.1977,-0.0362,0.1225,-1.6903,0,-0.9133,0.496,1,0,0,0.5303,2.9476,0.7674,236.992,10.9292,173.998,338.503,15.6105,293.266,1,489.308
"3","unk1",3,1,0.2688,0.4285,2.515,56.8252,0.1273,0.1451,1.3306,0,-0.7585,0.2349,1,0,0,0.447,2.4795,0.6664,370.418,21.9435,173.998,471.81,27.9499,293.266,4,629.037
"4","unk1",4,-1,0.6222,-0.395,-1.5824,-23.3085,0.1741,0.2099,-1.5045,0.001,1.3047,0.3777,0.2903,0,0,0.4316,1.2614,0.7848,239.508,119.806,173.998,751.2,375.762,293.266,5,99.7097
"5","unk1",5,1,0.2233,0.2724,2.1229,28.77,0.2388,0.0533,0.8858,0,-0.3695,0.5168,1,0,0,0.3623,1.7396,0.3884,214.757,9.8757,173.998,301.218,13.8517,293.266,3,300.045
"6","unk1",6,-1,0.212,-0.2334,-1.8526,-33.3139,0.0854,0.1007,-1.3882,4e-04,-0.4244,0.3949,1,0,0,0.2486,1.4434,0.3061,221.835,13.0666,173.998,284.057,16.7316,293.266,0,290.773
"7","unk1",7,1,0.2009,0.2088,1.7611,36.9166,0.1888,0.0432,0.9608,0,-0.297,0.3713,1,0,0,0.2815,1.5043,0.3022,228.67,10.3884,173.998,265.997,12.0841,293.266,2,345.75
"8","unk1",8,-1,0.349,-0.2449,-1.2821,-14.3068,0.0378,0.052,-1.5771,0,-0.1634,0.4035,1,0,0,0.2478,0.823,0.2872,101.831,20.9076,173.998,138.855,28.5093,293.266,4,360.324
"9","unk1",9,1,0.7373,0.2595,1.5864,27.5897,0.477,0.0966,0.5131,0,-0.2819,0.2755,1,0,0,0.543,0.9514,0.7014,306.26,186.129,173.998,423.546,257.409,293.266,8,401.378
"10","unk1",10,-1,0.1691,-0.2089,-2.2026,-39.5486,0.1746,0.1169,-1.2193,0,-0.4778,0.4886,1,0,0,0.2723,2.1389,0.3617,301.979,9.2213,173.998,610.702,18.6485,293.266,2,462.765
"11","unk1",11,1,0.4838,0.4554,1.9951,33.5793,1.0966,0.0698,0.3113,0,-0.1539,0.2296,0.0612,0,0,1.1874,3.3239,1.608,464.262,45.0032,173.998,1316.7,127.634,293.266,4,25.0408
"12","unk1",12,-1,0.1547,-0.0633,-0.77,-11.6044,-0.2253,0.0063,-2.8507,0,-0.0542,0.6646,0,0,0,0.234,1.5196,0.2352,144.646,4.1168,173.998,389.568,11.0877,293.266,2,0
"13","unk1",13,1,0.7368,0.1258,0.8385,25.0707,-0.0326,0.2199,-2.938,0,-2.731,0.0658,0.4054,0,0,0.13,0.7214,0.5315,252.946,641.354,173.998,440.46,1116.8,293.266,12,88.8919
"14","unk1",14,-1,0.3801,-0.5349,-2.3635,-17.8255,-0.1796,0.048,-1.7833,0,-0.1588,0.5339,1,0,0,0.5643,1.6132,0.6131,123.374,13.7683,173.998,183.556,20.4846,293.266,2,392.237
"15","unk1",15,1,0.1514,0.1193,1.342,30.5454,-0.0042,0.0965,1.5423,0,0.4299,0.4074,1,0,0,0.1194,1.032,0.1563,196.333,10.3746,173.998,224.84,11.881,293.266,1,415.533
"16","unk1",16,-1,0.1488,-0.1393,-1.5455,-29.4666,0.1857,0.0392,-0.7357,-0.0085,-0.1637,0.4896,1,0,0,0.2321,1.6327,0.2429,217.194,5.6474,173.998,246.195,6.4015,293.266,1,336.8
"17","unk1",17,1,0.1497,0.187,2.1636,47.0968,0.3451,0.0338,0.5936,0,0.1165,0.4255,1,0,0,0.3925,2.7256,0.408,318.041,4.9682,173.998,438.01,6.8423,293.266,2,287.067
"18","unk1",18,-1,0.3515,-0.2247,-1.5841,-28.9699,0.0046,0.1863,-2.3796,0,1.8185,0.7324,1,0,0,0.2248,1.4863,0.5224,303.849,70.0156,173.998,458.496,105.651,293.266,2,356.714
"19","unk1",19,1,0.2222,0.2121,1.6811,35.0659,0.1387,0.0919,1.07,0,-0.4989,0.3124,1,0,0,0.2534,1.5002,0.3334,197.519,12.8319,173.998,281.891,18.3132,293.266,2,452.818
"20","unk1",20,-1,0.1262,-0.0688,-0.9456,-21.3412,0.0622,0.1586,-0.843,0.003,-1.052,0.4877,1,0,0,0.0928,1.1352,0.1433,182.616,7.8795,173.998,320.593,13.8329,293.266,0,340.462
"21","unk1",21,1,0.1413,0.1488,1.8252,35.9796,0.1873,0.0503,0.7771,0,-0.2098,0.4927,1,0,0,0.2392,1.8267,0.2581,283.49,6.2914,173.998,353.331,7.8414,293.266,1,357.5
"22","unk1",22,-1,0.1598,-0.2524,-2.6741,-47.3103,-7e-04,0.0012,-1.5779,0,-0.0054,0.4886,1,0,0,0.2524,1.5837,0.2531,328.07,9.3871,173.998,340.439,9.741,293.266,1,403.25
"23","unk1",23,1,0.1318,0.2092,2.6792,56.0285,0.1432,0.0208,1.0174,0,0.0796,0.4874,1,0,0,0.2536,1.9678,0.2594,422.226,7.4312,173.998,449.776,7.916,293.266,1,471.923
"24","unk1",24,-1,0.1429,-0.2024,-2.3733,-54.6297,0.1274,0.0305,-1.1305,0,-0.0995,0.431,1,0,0,0.2391,1.7751,0.2537,342.919,7.8302,173.998,359.927,8.2186,293.266,1,385.5
"25","unk1",25,1,0.1457,0.1982,2.3984,50.3519,0.3072,0.0309,0.6524,0,0.111,0.4447,1,0,0,0.3655,2.596,0.3782,367.493,5.7594,173.998,408.87,6.4079,293.266,2,452.6
"26","unk1",26,-1,0.2852,-0.2021,-1.9261,-37.7124,-0.0455,0.1379,-2.4692,0,1.9768,0.7603,1,0,0,0.2071,1.549,0.4418,382.184,56.6974,173.998,540.256,80.1476,293.266,2,369.214
"27","unk1",27,1,0.1707,0.3805,3.751,61.2497,0.2102,0.0604,1.1283,0,-0.4134,0.4989,1,0,0,0.4347,2.8075,0.4791,407.632,7.9789,173.998,505.57,9.896,293.266,1,270.059
"28","unk1",28,-1,0.1746,-0.4003,-3.7301,-62.6573,0.1143,0.0675,-1.3612,0.0032,-0.3984,0.4804,1,0,0,0.4163,2.6762,0.4672,375.343,8.1181,173.998,506.864,10.9627,293.266,1,296.722
"29","unk1",29,1,0.2393,0.2106,2.4178,64.7807,0.3389,0.0693,0.4953,0,0.5195,0.2279,1,0,0,0.399,1.9827,0.4744,419.067,20.8018,173.998,578.082,28.6951,293.266,2,419.75
"30","unk1",30,-1,0.179,-0.1595,-1.5773,-30.2756,-0.0896,0.1347,-2.1784,1e-04,-0.4754,0.4548,1,0,0,0.1829,1.6588,0.2969,225.222,11.8,173.998,350.194,18.3476,293.266,2,392.556
"31","unk1",31,1,0.4034,0.1816,1.5039,30.1083,0.3964,0.0808,0.3492,0,0.1151,0.1846,1,0,0,0.436,1.5262,0.6156,358.358,60.0513,173.998,629.36,105.464,293.266,3,382.75
"32","unk1",32,-1,0.1443,-0.2058,-2.3946,-50.2668,-0.0189,0.0031,-1.6649,0,-0.0172,0.4598,1,0,0,0.2066,1.4375,0.2074,337.041,9.1222,173.998,372.938,10.0938,293.266,1,409.429
"33","unk1",33,1,0.1189,0.1562,2.1745,48.7472,0.191,0.0174,0.7287,0,0.0742,0.5016,1,0,0,0.2467,2.1092,0.2507,386.116,5.3887,173.998,522.65,7.2941,293.266,1,479.083
"34","unk1",34,-1,0.1081,-0.1286,-1.9503,-55.1422,0.1078,0.0607,-1.1154,0,-0.2084,0.467,1,0,0,0.1678,1.785,0.193,394.026,6.3836,173.998,538.427,8.7231,293.266,1,356.636
"35","unk1",35,1,0.1787,0.3189,2.8987,44.861,0.854,0.0075,0.3954,0,-0.0538,0.6044,0.3333,0,0,0.9116,5.1389,0.9182,374.327,3.9183,173.998,931.239,9.7479,293.266,1,168.778
"36","unk1",36,-1,0.1887,-0.5225,-5.2082,-102.524,-0.0835,0.0444,-1.835,0,0.3549,0.3889,0,0,0,0.5292,3.1925,0.6025,674.669,13.948,173.998,985.98,20.384,293.266,2,0
"37","unk1",37,1,0.2813,0.1123,0.6459,17.1906,-0.1922,0.027,2.629,0,-0.1159,0.1807,0,0,0,0.2226,0.8214,0.2311,221.84,29.5727,173.998,350.379,46.7078,293.266,4,0
"38","unk1",38,-1,0.2275,-0.0918,-0.8802,-23.8849,-0.0809,0.0142,-2.2688,0,-0.0797,0.228,0,0,0,0.1224,0.554,0.126,185.387,26.4358,173.998,243.529,34.7267,293.266,3,0
"39","unk1",39,1,0.2703,0.4931,3.1621,33.642,0.3008,0.0386,1.0087,0.0017,-0.2667,0.6088,0.8148,0,0,0.5776,2.2203,0.6001,299.162,13.9094,173.998,391.081,18.1832,293.266,2,171.185
